lsl_timestamp,ch1,ch2,ch3,ch4
753365.1379937673,8.7890625,-17.08984375,-116.2109375,-30.2734375,833.984375
753365.1417575129,49.31640625,-17.08984375,-104.4921875,-23.92578125,60.05859375
753365.1455212586,30.76171875,-19.04296875,-91.30859375,-18.5546875,-81.0546875
753365.1492850042,-15.13671875,-15.625,-94.7265625,-46.38671875,235.3515625
753365.152210296,0.9765625,-22.94921875,-91.796875,-39.55078125,116.2109375
753365.1559187043,49.8046875,-19.53125,-97.16796875,-10.7421875,-242.67578125
753365.1596271127,43.9453125,-14.16015625,-107.421875,-18.06640625,-121.58203125
753365.163335521,-17.08984375,-24.4140625,-92.7734375,-39.0625,0.48828125
753365.1670439293,-20.99609375,-21.484375,-94.7265625,-31.25,-44.921875
753365.1707523377,35.64453125,-12.6953125,-117.67578125,1.46484375,265.625
753365.174460746,52.24609375,-16.6015625,-104.00390625,16.11328125,805.17578125
753365.1781691543,10.25390625,-15.13671875,-76.171875,-4.8828125,515.13671875
753365.1818775627,-31.73828125,-29.78515625,-87.40234375,-35.64453125,-237.79296875
753365.185585971,-5.37109375,-37.109375,-78.125,-27.34375,-100.5859375
753365.1892943793,4.8828125,-25.390625,-69.3359375,-17.08984375,181.15234375
753365.1930027877,-31.73828125,-23.4375,-61.03515625,-30.2734375,132.32421875
753365.196711196,-57.12890625,-19.53125,-48.33984375,-33.203125,-264.6484375
753365.2004196043,-33.69140625,-35.15625,-41.9921875,-37.59765625,-102.5390625
753365.2041280126,13.18359375,-33.69140625,-38.0859375,-39.0625,170.8984375
753365.207836421,3.41796875,-2.44140625,-52.24609375,-39.0625,286.1328125
753365.2115448293,-44.921875,-11.23046875,-63.4765625,-58.10546875,259.27734375
753365.2152532376,-34.1796875,-15.625,-53.22265625,-46.38671875,297.36328125
753365.218961646,21.484375,-11.23046875,-46.38671875,-11.71875,635.7421875
753365.2226700543,25.87890625,-17.08984375,-60.05859375,-2.9296875,265.13671875
753365.2413521794,-14.16015625,-6.34765625,-59.08203125,-8.30078125,148.4375
753365.2450287663,-30.2734375,-12.20703125,-54.19921875,-11.23046875,266.6015625
753365.2487053532,6.34765625,-24.4140625,-42.96875,10.7421875,598.6328125
753365.2523819401,29.78515625,-24.90234375,-15.625,8.7890625,446.77734375
753365.256058527,-13.18359375,-27.83203125,-17.578125,-23.4375,194.82421875
753365.2597351139,-34.1796875,-24.90234375,-28.80859375,-28.3203125,345.703125
753365.2634117008,0.9765625,-21.97265625,-35.15625,-4.39453125,166.015625
753365.2670882877,22.94921875,-24.90234375,-53.22265625,-5.859375,-166.9921875
753365.2707648746,-0.9765625,-19.04296875,-76.66015625,-13.18359375,-113.28125
753365.2744414615,-40.0390625,-23.92578125,-46.875,-21.97265625,-36.62109375
753365.2781180484,-23.92578125,-33.203125,-20.99609375,-25.390625,208.984375
753365.2817946353,-3.41796875,-29.78515625,-31.73828125,-23.92578125,271.97265625
753365.2854712222,-21.484375,-39.55078125,-31.73828125,-30.2734375,-135.25390625
753365.2891478091,-43.45703125,-38.57421875,-21.97265625,-13.18359375,344.7265625
753365.292824396,-65.4296875,-20.5078125,-20.5078125,-30.76171875,524.4140625
753365.296500983,-28.3203125,-4.8828125,-33.203125,-54.6875,-10.7421875
753365.3001775699,-11.71875,-12.6953125,-38.0859375,-44.43359375,-3.41796875
753365.3038541568,-57.6171875,-24.90234375,-52.734375,-39.55078125,-109.375
753365.3075307437,-58.10546875,-28.3203125,-76.66015625,-41.9921875,-55.6640625
753365.3112073306,-13.671875,-30.2734375,-65.4296875,-34.66796875,167.96875
